ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Информационные аспекты управления предприятием,17,Лек,34,Ермин Д.А.,Четверг,числ/знам,13:45-15:10,Дистанционное обучение,ДО
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Информационные аспекты управления предприятием,17,Пр,34,Ермин Д.А.,Четверг,числ/знам,15:20-16:45,Дистанционное обучение,ДО
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Информационные аспекты управления предприятием,17,Пр,17,Ермин Д.А.,Пятница,числ,11:40-13:05,Дистанционное обучение,ДО
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Методы современного программирования,17,Лек,17,Бусыгин К.Н.,Пятница,числ,13:45-15:10,Дистанционное обучение,ДО
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Методы защиты информации,17,Лек,17,Штеренберг С.И.,Пятница,знам,13:45-15:10,Дистанционное обучение,ДО
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Методы современного программирования,17,Лаб,17,Бусыгин К.Н.,Пятница,числ,15:20-16:45,Дистанционное обучение,ДО
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Методы защиты информации,17,Лаб,17,Штеренберг С.И.,Пятница,знам,15:20-16:45,Дистанционное обучение,ДО
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Методы защиты информации,17,Пр,34,Штеренберг С.И.,Пятница,числ/знам,16:55-18:20,Дистанционное обучение,ДО
ОО,ИИТА,1-АПП,1-МГ-6,6,Современные проблемы автоматизации и управления,17,Пр,17,Энтин В.Я.,Понедельник,числ,11:40-13:05,"пр. Вознесенский, д. 46",В 286
ОО,ИИТА,1-АПП,1-МГ-6,6,Современные проблемы автоматизации и управления,17,Лек,17,Энтин В.Я.,Понедельник,знам,11:40-13:05,"пр. Вознесенский, д. 46",В 286
ОО,ИИТА,1-АПП,1-МГ-6,,Учебная практика (научно-исследовательская работа),17,Пр,68,Энтин В.Я.,Понедельник,числ/знам,13:45-16:45,"пр. Вознесенский, д. 46",В 284
